school,applicant
诺丁汉大学企业创业、创新与管理理学硕士,"泰国博仁大学, 国际经济与贸易, 大四，GPA3.24，雅思6.5"
诺丁汉大学人力资源管理与组织理学硕士,"天津商业大学, 土地资源管理, 大四，GPA3.31，无"
伦敦大学玛丽皇后学院银行与金融学理学硕士,"河北经贸大学, 金融工程, 大四，GPA82，无"
伦敦大学学院数字健康与创业理学硕士,"温州肯恩大学, 市场营销, 大四，GPA3.93，雅思7.5"
伦敦大学学院全球医疗保健管理（领导力）理学硕士,"北京邮电大学, 公共事业管理, 大四，GPA3.65，雅思7.0"
伦敦大学玛丽皇后学院银行与金融学理学硕士,"澳门科技大学, 金融, 大四，GPA2.73，托福90"
伦敦大学玛丽皇后学院公司金融理学硕士,"澳门科技大学, 金融, 大四，GPA2.73，托福90"
布里斯托大学全球运营与供应链管理理学硕士,"上海海事大学, 经济学(海运与物流经济), 大四，GPA86，无语言成绩"
爱丁堡大学经济学理学硕士,"华南师范大学, 金融学（中英合作办学）, 大四，GPA88，雅思7.0，GMAT680"
爱丁堡大学经济学理学硕士,"吉林大学, 经济学, 大四，GPA89.1，雅思6.5"
卡迪夫大学商业管理理学硕士,"湖南科技大学, 环境设计, 已毕业，GPA82.32，无语言成绩"
布里斯托大学会计、金融和管理理学硕士,"上海对外经贸大学, 会计学(国际会计方向), 大四，GPA83，雅思7.0"
埃克塞特大学经济学理学硕士,"湖南农业大学, 金融学, 大四，GPA81.2，暂无"
华威大学信息系统管理和数字化创新理学硕士,"宁波诺丁汉大学, 金融财务与管理, 大四，GPA70，雅思6.5"
布里斯托大学金融与投资理学硕士,"西南财经大学, 金融学（双语实验班）, 大四，GPA3.8，雅思7，GRE337"
谢菲尔德大学会计、治理与财务管理理学硕士,"对外经济贸易大学, 商务英语, 三年工作经验，GPA84.45，雅思6.0"
布里斯托大学商业分析理学硕士,"香港中文大学（深圳）, 应用经济学, 大四，GPA3.49，雅思7.0，GMAT710"
南安普顿大学会计与管理理学硕士,"内蒙古大学, 财务管理, 大四，GPA83，雅思6.5"
曼彻斯特大学国际时尚营销理学硕士,"温州肯恩大学, 市场营销, 大四，GPA3.93，无语言成绩"
曼彻斯特大学国际时装零售（创业与创新）理学硕士,"华南农业大学, 市场营销, 大四，GPA87.34，无语言成绩"
伯明翰大学金融数学理学硕士,"西交利物浦大学, 金融数学, 大四，GPA64，无"
曼彻斯特大学国际时尚营销理学硕士,"西交利物浦大学, 国际商务管理, 大四，GPA70，雅思7.0"
南安普顿大学物流与供应链分析理学硕士,"太原理工大学, 物流管理, 已毕业，GPA80.25，雅思7.0"
格拉斯哥大学国际会计与财务管理会计硕士,"华东政法大学, 会计, 大四，GPA3.4，无语言成绩"
南安普顿大学市场营销分析理学硕士,"深圳大学, 市场营销, 大四，GPA87.3，雅思7，GMAT650"
萨塞克斯大学市场营销与消费者心理学理学硕士,"皖江工学院, 国际经济与贸易, 一年工作经验，GPA75.19，无语言成绩"
拉夫堡大学信息系统和数字创新理学硕士,"隆德大学, 经济与社会, 大四，GPA78，暂无"
伯明翰大学金融经济学理学硕士,"郑州大学, 金融学, 大四，GPA86.07，无语言成绩"
谢菲尔德大学管理学理学硕士,"中国海洋大学, 电子信息科学与技术, 已毕业，GPA78.29，无语言成绩"
谢菲尔德大学国际商务管理理学硕士,"中国海洋大学, 电子信息科学与技术, 已毕业，GPA78.29，无语言成绩"
埃克塞特大学金融与管理理学硕士,"广东金融学院, 金融学, 已毕业，GPA81.2，无语言成绩"
谢菲尔德大学金融与会计理学硕士,"上海理工大学, 英语（中美合作）, 大四，GPA85.1，无语言成绩"
伦敦大学玛丽皇后学院银行与金融学理学硕士,"西交利物浦大学, 精算学, 大四，GPA47，无"
布里斯托大学管理学理学硕士（国际业务 ）,"南京审计大学, 审计学（ACCA）, 两年工作经验，GPA83.4，无"
伯明翰大学国际商业理学硕士,"中央财经大学, 日语(财经日语方向), 大四，GPA83.88，暂无"
曼彻斯特大学国际时装零售理学硕士,"上海外国语大学, 日语, 已毕业，GPA89，雅思7.0"
华威大学管理学理学硕士,"中国人民大学（苏州）, 金融学（中法学院）, 大四，GPA3.5，雅思7.0"
伦敦大学国王学院金融分析理学硕士,"滑铁卢大学, 金融分析与风险管理, 大四，GPA87，免语言成绩"
南安普顿大学营销管理理学硕士,"首都经济贸易大学, 会计（ACCA）, 大四，GPA87.37，无语言成绩"
埃克塞特大学会计与金融理学硕士,"北京师范大学珠海分校, 会计学, 大四，GPA81，暂无"
布里斯托大学管理学理学硕士（市场营销 ）,"华南农业大学, 市场营销, 大四，GPA87.34，无语言成绩"
布里斯托大学卫生经济学与卫生政策分析理学硕士,"宁波诺丁汉大学, 金融财务与管理, 大四，GPA62，雅思6.5"
布里斯托大学市场营销理学硕士,"山东大学, 市场营销, 大四，GPA86.39，雅思6.5，GMAT660"
伯明翰大学投资学理学硕士,"华东政法大学, 数量金融, 已毕业，GPA87，雅思6.5"
曼彻斯特大学国际时尚营销理学硕士,"中国传媒大学, 传播学（媒体市场调查与分析方向）, 大四，GPA90，无语言成绩"
谢菲尔德大学东亚商务理学硕士,"上海对外经贸大学, 旅游管理, 已毕业，GPA3.81，无语言成绩"
谢菲尔德大学金融学理学硕士,"武汉科技大学, 投资学, 大四，GPA3.3，无语言成绩"
纽卡斯尔大学国际商务管理理学硕士,"东北财经大学, 工商管理（萨里双学位）, 大四，GPA86，无语言成绩"
曼彻斯特大学人力资源管理和劳资关系理学硕士,"McMaster, 商业, 大四，GPA10.9，免语言成绩"
南安普顿大学经济学理学硕士,"上海海事大学, 海事经济 , 大四，GPA86.59，无语言成绩"
曼彻斯特大学国际时装零售（创业与创新）理学硕士,"上海对外经贸大学, 商务英语, 大四，GPA86，雅思7.5，GRE326"
格拉斯哥大学投资银行及金融理学硕士,"郑州大学, 金融, 大四，GPA86.07，无语言成绩"
南安普顿大学营销管理理学硕士,"华东理工大学, 市场营销, 大四，GPA83.52，无语言成绩"
杜伦大学管理学（供应链物流）理学硕士,"上海海事大学, 海事经济 , 大四，GPA86.59，无语言成绩"
南安普顿大学金融与经济理学硕士,"Massey University, finance, 大四，GPA68.5，无语言成绩"
萨塞克斯大学战略营销理学硕士,"北华航天工业学院, 市场营销, 大四，GPA86，雅思6.0"
南安普顿大学金融与经济理学硕士,"扬州大学, 金融学, 大四，GPA83.93，雅思6.5，GRE335"
南安普顿大学金融与经济理学硕士,"武汉科技大学, 投资学, 大四，GPA83，暂无"
伦敦大学玛丽皇后学院市场营销理学硕士,"广东外语外贸大学, 工商管理, 大四，GPA84.01，雅思7.0"
卡迪夫大学会计与金融学理学硕士,"山东工商学院, 会计学, 大四，GPA83.93，无语言成绩"
布里斯托大学管理学理学硕士,"上海对外经贸大学, 商务英语, 大四，GPA86，雅思7.5，GRE326"
伦敦大学学院比较经济学与政策文学硕士,"北京林业大学, 国际经济与贸易, 大四，GPA90.89，雅思7.5，GRE318"
诺丁汉大学市场营销理学硕士,"广东外语外贸大学, 工商管理, 大四，GPA84.01，雅思7.0"
埃克塞特大学货币、银行和金融理学硕士,"西交利物浦大学, 精算学, 大四，GPA52，无语言成绩"
南安普顿大学时尚管理文学硕士,"中央民族大学, 工商管理, 大四，GPA76.55，无语言成绩"
埃克塞特大学金融与管理理学硕士,"上海大学, 经济学, 一年工作经验，GPA2.81，雅思6.5"
布里斯托大学管理学理学硕士（国际业务 ）,"暨南大学, 国际商务, 大四，GPA90.9，雅思7.0"
卡迪夫大学金融学理学硕士,"湖南农业大学, 金融学, 大四，GPA81.7，无语言成绩"
布里斯托大学金融与投资理学硕士,"东华大学, 金融学, 大四，GPA3.61，雅思:7.5(L:7.5/R:8.5/W:6.5/S:7.0)，GRE:318"
谢菲尔德大学商务金融与经济理学硕士,"上海大学, 经济学, 一年工作经验，GPA2.81，雅思6.5"
伦敦大学玛丽皇后学院公司金融理学硕士,"山东工商学院, 会计学, 大四，GPA83.93，无语言成绩"
布里斯托大学管理学理学硕士（市场营销 ）,"首都经济贸易大学, 会计（ACCA）, 大四，GPA86.59，无语言成绩"
布里斯托大学管理学理学硕士（市场营销 ）,"对外经济贸易大学, 法语, 大四，GPA86.1，雅思7.0"
布里斯托大学管理学理学硕士,"上海大学, 信息资源管理, 大四，GPA87.53，雅思6.5"
布里斯托大学管理学理学硕士（市场营销 ）,"中国矿业大学（徐州）, 国际经济与贸易, 已毕业，GPA85.5，雅思7.0"
约克大学金融学理学硕士,"湖南农业大学, 金融学, 大四，GPA81.2，暂无"
爱丁堡大学气候变化金融与投资理学硕士,"西交利物浦大学, 会计, 大四，GPA75，雅思7.0"
南安普顿大学国际金融市场理学硕士,"中国人民大学, 金融学, 大四，GPA81.39，雅思7.0"
卡迪夫大学市场营销理学硕士,"南开大学滨海学院, 应用心理学, 已毕业，GPA84.16，无语言成绩"
阿伯丁大学营销管理理学硕士,"中央财经大学, 国际经济与贸易(国际贸易/金融风险管理方向), 大四，GPA75.37，雅思:6.0(L:6.5/R:6.0/W:6.0/S:5.5)"
兰卡斯特大学会计与财务管理理学硕士,"北京师范大学珠海分校, 会计学, 大四，GPA81，暂无"
南安普顿大学风险与金融理学硕士,"南京信息工程大学, 金融工程, 大四，GPA79，无语言成绩"
布里斯托大学会计、金融和管理理学硕士,"南京信息工程大学, 国际贸易, 大四，GPA3.51，无语言成绩"
格拉斯哥大学金融经济学理学硕士,"南京信息工程大学, 国际贸易, 大四，GPA3.51，无语言成绩"
卡迪夫大学金融经济学理学硕士,"广东金融学院, 金融学, 已毕业，GPA81.28，无语言成绩"
布里斯托大学银行、管理与金融稳定理学硕士,"东华大学, 金融学, 大四，GPA3.61，雅思7.5"
布里斯托大学管理学理学硕士,"上海对外经贸大学, 会计, 大四，GPA3.18，雅思7.0"
布里斯托大学管理学理学硕士（市场营销 ）,"中国传媒大学, 国际经济与贸易, 大四，GPA88，雅思7.0"
谢菲尔德大学管理学理学硕士,"东北财经大学, 工商管理（萨里双学位）, 大四，GPA84.5，无语言成绩"
爱丁堡大学经济学理学硕士,"苏州大学, 金融学, 大四，GPA3.9，托福106，GRE320"
爱丁堡大学管理学理学硕士,"外交学院, 日语, 一年工作经验，GPA94，雅思7.5"
爱丁堡大学经济学理学硕士,"华东师范大学, 已毕业，GPA86.67，雅思7.5，GRE317"
爱丁堡大学经济学（计量经济学）理学硕士,"北京工业大学, 金融学（中外合作办学）, 大四，GPA3.87，雅思7.0，GRE326"
卡迪夫大学人力资源管理理学硕士,"上海杉达学院, 人力资源, 大四，GPA80，雅思6.5"
纽卡斯尔大学运营、物流与供应链管理理学硕士,"上海应用技术大学, 市场营销, 大四，GPA3.4，无语言成绩"
爱丁堡大学管理学理学硕士,"西交利物浦大学, 会计, 大四，GPA75，雅思7.0"
利物浦大学金融学理学硕士,"广东金融学院, 金融学, 已毕业，GPA81.28，无语言成绩"
利物浦大学金融与投资管理理学硕士,"广东金融学院, 金融学, 已毕业，GPA81.28，无语言成绩"
格拉斯哥大学经济发展理学硕士,"苏州大学, 金融学, 大四，GPA3.9，托福106"
南安普顿大学金融学理学硕士,"首都经济贸易大学, 保险学(保险精算), 大四，GPA87.65，雅思:7.0(L:7.5/R:8.0/W:6.0/S:6.5)"
布里斯托大学会计、金融和管理理学硕士,"首都经济贸易大学, 保险学(保险精算), 大四，GPA87.65，雅思:7.0(L:7.5/R:8.0/W:6.0/S:6.5)"
南安普顿大学金融与计量经济学理学硕士,"西南财经大学, 经济与管理国际化创新人才班, 大四，GPA83，雅思6.5"
诺丁汉大学管理学理学硕士,"中国海洋大学, 电子信息科学与技术, 已毕业，GPA78.29，无语言成绩"
