school,applicant,gpa,gpa_normalized,applicant_school,is_chinese_undergrad,is_985,is_211,is_zhuanke,is_minban,is_heban,is_top_100_qs,fn
香港大学计算机科学理学硕士（多媒体计算方向）,"北京邮电大学, 计算机科学与技术, 三年以上工作经验，GPA83.87，雅思6.5",83.87,-0.17278649026571227,北京邮电大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港科技大学航空工程理学硕士,"布里斯托大学, 机械工程, 大四，GPA68.67，不需要",68.67,-2.6210732890126955,布里斯托大学,0,0,0,0,0,0,1,香港_工科_applicants.csv
香港科技大学机械工程理学硕士,"华南理工大学, 光电信息科学与工程, 已毕业，GPA79.11，雅思6",79.11,-0.9394868298733209,华南理工大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学机械工程理学硕士,"武汉理工大学, 轮机工程, 大四，GPA3.67，雅思6.5（6.0）",93.4,1.3622249039486791,武汉理工大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学计算机科学理学硕士（常规方向）,"北京工业大学, 软件工程（中外合作办学）, 大四，GPA3.55，雅思6.5",91.0,0.9756533041465231,北京工业大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港大学计算机科学理学硕士（常规方向）,"华南理工大学, 软件工程, 大四，GPA84.8，雅思:6.5(L:6.5/R:7.5/W:6.5/S:5.5)",84.8,-0.02298999534237832,华南理工大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学环境管理及工程学理学硕士,"广东工业大学, 环境工程, 已毕业，GPA84，雅思6",84.0,-0.1518471952764296,广东工业大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港科技大学电子工程理学硕士,"南京大学, 微电子科学与工程, 两年工作经验，GPA3.89，雅思6.5",97.80000000000001,2.0709395035859646,南京大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港科技大学电信学理学硕士,"山东大学（威海）, 应用物理学, 大四，GPA77，雅思6.5",77.0,-1.2793476946993823,山东大学（威海）,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学机械工程理学硕士,"天津大学, 机械设计制造及其自动化, 已毕业，GPA3.42，雅思6.5",88.4,0.5568674043608558,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学环境信息、健康与公共管理理学硕士,"多伦多大学, 环境地理, 大四，GPA3.42，免",88.4,0.5568674043608558,多伦多大学,0,0,0,0,0,0,0,香港_工科_applicants.csv
香港科技大学电子工程理学硕士,"东南大学, 测控技术与仪器, 两年工作经验，GPA79，雅思:6.5(L:6/R:7/W:6/S:6)",79.0,-0.9572046948642529,东南大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港科技大学电信学理学硕士,"天津大学, 物联网工程, 已毕业，GPA81.58，雅思6.5",81.58,-0.5416402250769363,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学电子商务与互联网计算理学硕士,"东北师范大学, 已毕业，GPA87.02，雅思:7.5(L:7.5/R:8.5/W:7.0/S:6.0)",87.02,0.33458873447461507,东北师范大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学环境管理及工程学理学硕士,"华南理工大学, 资源环境科学, 两年工作经验，GPA77.62，雅思6.0",77.62,-1.1794833647504914,华南理工大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学航空工程理学硕士,"天津大学, 机械设计制造及其自动化, 已毕业，GPA3.42，雅思6.5",88.4,0.5568674043608558,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学土木基建工程与管理理学硕士,"长安大学, 道路桥梁与渡河工程（中外合作办学）, 大四，GPA86.47，雅思6.5",86.47,0.24599940951995494,长安大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学电子资讯工程学理学硕士,"山东大学（威海）, 电子信息工程, 大四，GPA82.66，雅思:7.0(L:7.5/R:8.5/W:6.0/S:6.5)",82.66,-0.3676830051659668,山东大学（威海）,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学电信学理学硕士,"南京大学, 微电子科学与工程, 两年工作经验，GPA3.89，雅思6.5",97.80000000000001,2.0709395035859646,南京大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港大学计算机科学理学硕士（网络安全方向）,"山东大学, 信息安全, 大四，GPA84.29，雅思7",84.29,-0.10513646030033483,山东大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学电子及资讯工程学理学硕士,"深圳大学, 自动化, 一年工作经验，GPA80，雅思6.5",80.0,-0.7961331949466882,深圳大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港城市大学电子资讯工程学理学硕士,"南京理工大学, 通信工程, 大四，GPA85.89，雅思6.5",85.89,0.15257793956776772,南京理工大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港科技大学电信学理学硕士,"南京理工大学, 通信工程, 大四，GPA85.89，雅思6.5",85.89,0.15257793956776772,南京理工大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港中文大学信息工程理学硕士,"天津大学, 物联网工程, 已毕业，GPA81.58，雅思6.5",81.58,-0.5416402250769363,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学通信工程理学硕士（CUHKSZ）,"天津大学, 电子信息工程, 大四，GPA3.24，雅思6.5",84.80000000000001,-0.02298999534237603,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港浸会大学环境与公共卫生管理理学硕士,"南京体育学院, 运动康复, 大四，GPA87.53，481",87.53,0.41673519943257387,南京体育学院,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港城市大学电子资讯工程学理学硕士,"中国科学院大学, 电子信息工程, 已毕业，GPA3.55，雅思:7(L:7.5/R:8/W:6/S:6)",91.0,0.9756533041465231,中国科学院大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港理工大学电子及资讯工程学理学硕士,"吉林大学, 微电子科学与工程, 已毕业，GPA81.11，雅思6.5",81.11,-0.6173438300381916,吉林大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学土木工程工学硕士（通用方向）,"长安大学, 道路桥梁与渡河工程（中外合作办学）, 大四，GPA86.47，雅思6.5",86.47,0.24599940951995494,长安大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学多媒体资讯科技理学硕士,"上海交通大学, 软件工程, 已毕业，GPA80.46，CET 6",80.46,-0.7220403049846095,上海交通大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学集成电路设计工程理学硕士,"吉林大学, 微电子科学与工程, 已毕业，GPA81.11，雅思6.5",81.11,-0.6173438300381916,吉林大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学电气与电子工程工学硕士（常规方向）,"南京理工大学, 通信工程, 大四，GPA85.89，雅思6.5",85.89,0.15257793956776772,南京理工大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港中文大学营养、食品科学和技术理学硕士,"合肥工业大学（宣城校区）, 食品质量与安全, 大四，GPA3.25，雅思6.5",85.0,0.00922430464113507,合肥工业大学（宣城校区）,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学电子商务与互联网计算理学硕士,"中南大学, 信息管理与信息系统, 大四，GPA87.16，雅思6.5",87.16,0.3571387444630742,中南大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学多媒体资讯科技理学硕士,"重庆大学, 安全工程, 已毕业，GPA3.61，雅思6.5",92.19999999999999,1.1689391040475987,重庆大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学环境工程与管理理学硕士,"华中农业大学, 环境工程, 大四，GPA85.57，雅思6.5",85.57,0.10103505959414583,华中农业大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学电信学理学硕士,"中国农业大学, 电子信息工程, 大四，GPA3.59，雅思7",91.8,1.1045105040805743,中国农业大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学生物医学工程理学硕士,"苏州大学, 生物技术, 大四，GPA82，雅思7",82.0,-0.47399019511155893,苏州大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港中文大学生物医学工程理学硕士,"华南师范大学, 生物科学（师范）, 三年以上工作经验，GPA3.48，雅思6.5",89.60000000000001,0.7501532042619339,华南师范大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港中文大学生物医学工程理学硕士,"北京航空航天大学, 生物医学工程, 大四，GPA85.5，雅思7.0",85.5,0.0897600545999174,北京航空航天大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港理工大学碳中和可持续科技理学硕士,"中山大学, 海洋科学, 已毕业，GPA83，雅思6",83.0,-0.31291869519399423,中山大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学微电子技术与材料理学硕士,"山东大学, 微电子科学与工程, 已毕业，GPA85.33，雅思6.5",85.33,0.062377899613931136,山东大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学城市信息学及智慧城市理学硕士,"华南师范大学, 地理信息科学, 大四，GPA83.6，雅思6.5",83.6,-0.21627579524345636,华南师范大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学测绘及地理资讯学理学硕士（地理资讯）,"华南师范大学, 地理信息科学, 大四，GPA83.6，雅思6.5",83.6,-0.21627579524345636,华南师范大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学集成电路设计工程理学硕士,"南京大学, 微电子科学与工程, 两年工作经验，GPA3.89，雅思6.5",97.80000000000001,2.0709395035859646,南京大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港大学工业工程与物流管理理学硕士,"太原理工大学, 物流管理, 已毕业，GPA80.25，雅思:7(L:7/R:8.5/W:6.5/S:6)",80.25,-0.7558653199672971,太原理工大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港大学工业工程与物流管理理学硕士,"华南理工大学, 工业工程专业, 大四，GPA84.43，雅思:6.0(L:6.0/R:6.5/W:5.5/S:5.5)",84.43,-0.08258645031187568,华南理工大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学工业工程与物流管理理学硕士,"辽宁大学, 食品科学与工程, 三年以上工作经验，GPA83.87，雅思:6.5(L:6/R:7.5/W:6.5/S:6)",83.87,-0.17278649026571227,辽宁大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学区块链科技理学硕士,"上海大学, 信息工程, 已毕业，GPA85.53，雅思:6.5(L:7/R:7.5/W:6/S:5.5)",85.53,0.09459219959744453,上海大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学资讯科技理学硕士,"中国地质大学（武汉）, 计算机科学与技术, 已毕业，GPA3.4，雅思7",88.0,0.49243880439382903,中国地质大学（武汉）,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学工程管理学理学硕士,"吉林大学, 材料科学与工程, 已毕业，GPA80，六级495",80.0,-0.7961331949466882,吉林大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学国际航运及物流管理理学硕士,"上海海事大学, 物流管理, 一年工作经验，GPA87.06，雅思6.5",87.06,0.34103159447131864,上海海事大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港理工大学环境管理及工程学理学硕士,"广东工业大学, 化学工程与工艺, 已毕业，GPA83.29，雅思6",83.29,-0.2662079602178995,广东工业大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港理工大学人工智能及大数据计算理学硕士,"东南大学, 人工智能, 大四，GPA83.39，雅思7.5",83.39,-0.25010081022614394,东南大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学机械工程学理学硕士,"华南理工大学, 光电信息科学与工程, 已毕业，GPA79.11，雅思6",79.11,-0.9394868298733209,华南理工大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学智能建筑物技术与管理理学硕士,"中国矿业大学（徐州）, 建筑学, 已毕业，GPA3.48，雅思6.5",89.60000000000001,0.7501532042619339,中国矿业大学（徐州）,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港理工大学环境管理及工程学理学硕士,"西南民族大学, 环境科学, 一年工作经验，GPA83.77，雅思6",83.77,-0.1888936402574701,西南民族大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港理工大学电机工程学理学硕士,"华北电力大学, 电气工程及其自动化, 两年工作经验，GPA81.5，雅思6.5",81.5,-0.5545259450703413,华北电力大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学机械工程学理学硕士,"上海交通大学, 船舶与海洋工程, 已毕业，GPA2.97，雅思6.5",79.4,-0.8927760948972261,上海交通大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学机械工程学理学硕士,"湖南大学, 机械设计制造及其自动化, 大四，GPA82，雅思6.5",82.0,-0.47399019511155893,湖南大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港浸会大学环境与公共卫生管理理学硕士,"广东工业大学, 化学工程与工艺, 已毕业，GPA83.29，雅思6.0",83.29,-0.2662079602178995,广东工业大学,1,0,0,0,0,0,0,香港_工科_applicants.csv
香港大学电气与电子工程理学硕士,"上海交通大学, 测控技术与仪器, 大四，GPA79.44，雅思7.0",79.44,-0.8863332349005248,上海交通大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学工程企业管理理学硕士,"天津大学, 机械设计制造及其自动化, 已毕业，GPA3.05，雅思6.5",81.0,-0.6350616950291236,天津大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学信息技术理学硕士,"华南理工大学, 软件工程, 大四，GPA84.8，雅思6.5",84.8,-0.02298999534237832,华南理工大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学智能建筑物技术与管理理学硕士,"同济大学, 土木工程, 已毕业，GPA75.17，雅思7.0",75.17,-1.5741085395485253,同济大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港科技大学土木基建工程与管理理学硕士,"加州戴维斯大学, 土木工程, 大四，GPA82.7，无语言成绩，GRE324",82.7,-0.36124014516926317,加州戴维斯大学,0,0,0,0,0,0,0,香港_工科_applicants.csv
香港科技大学智能建筑物技术与管理理学硕士,"河海大学, 港口航道与海岸工程, 已毕业，GPA81.73，雅思6.5",81.73,-0.5174795000893008,河海大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学土木基建工程与管理理学硕士,"武汉大学, 土木工程, 大四，GPA86.18，雅思6.5",86.18,0.19928867454386248,武汉大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港城市大学多媒体资讯科技理学硕士,"北京工业大学, 数字媒体技术, 已毕业，GPA86.36，雅思6.5",86.36,0.2282815445290229,北京工业大学,1,1,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学电子商贸,"上海财经大学, 电子商务, 大四，GPA80.37，雅思7.0",80.37,-0.7365367399771886,上海财经大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
香港城市大学电子商贸,"东华大学, 电子商务, 大四，GPA85.6，六级455",85.6,0.10586720459167295,东华大学,1,0,1,0,0,0,0,香港_工科_applicants.csv
香港科技大学土木基建工程与管理理学硕士,"山东大学, 土木工程, 已毕业，GPA82.88，雅思6.5",82.88,-0.33224727518410274,山东大学,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学电气与电子工程理学硕士,"东北大学秦皇岛分校, 通信工程, 大四，GPA88.8，雅思6.5",88.8,0.6212960043278803,东北大学秦皇岛分校,1,1,1,0,0,0,0,香港_工科_applicants.csv
香港大学电气与电子工程理学硕士,"南京航空航天大学, 自动化（航空电子与控制）（中外合作办学）, 已毕业，GPA80，雅思7.0",80.0,-0.7961331949466882,南京航空航天大学,1,0,1,0,1,0,0,香港_工科_applicants.csv
