en_name,ch_name,url,ranking,area,tofel,ielts,gmat,gre,tofel_sub,ielts_sub,gmat_sub,gre_sub,curriculum,area_1,area_ranking,entrance_time,project_length,tuition,region
MPhil in Economics,剑桥大学经济学哲学硕士,/majr_61319,QS排名：2,商科 经济,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"微观经济学, 宏观经济学, 计量经济学方法, 公共经济学, 行为经济学, 网络经济学, 产业组织, 应用宏观经济学, 应用经济计量学, 发展经济学, 宏观经济学历史专题, 英国工业化, 公司金融, 资产定价, 实证金融",经济,3,9月,1年,35517英镑/年,Britain
MPhil in Economic and Social History,剑桥大学经济社会史哲学硕士,/majr_66887,QS排名：2,商科 经济,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"经济社会史上的中心概念, 社会科学研究方法课程, 后发展：亚洲、非洲和拉丁美洲工业化进程的不平衡, 不平等：全球历史, 金钱、贸易和政治, 十八世纪和十九世纪英国的工业化, 17世纪以来的英国货币和信贷市场, 非洲经济史, 1300-2000年妇女（和男子）工作中的问题, 机构与发展",经济,3,10月,1年,30339英镑/年,Britain
MPhil in Land Economy Research,剑桥大学土地经济研究哲学硕士,/majr_66889,QS排名：2,商科 经济,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"研究方法, 定量方法的进一步讨论, 空间分析和建模, 国际环境法, 环境经济与政策, 能源与气候变化, 国家、比较和欧洲环境法和政策, 比较环境政策, 城市与环境规划, 城市和住房政策, 空间经济学, 机构与发展, 公司金融与房地产, 房地产金融与投资",经济,3,10月,1年,30339英镑/年,Britain
"MPhil in Education (Arts, Creativity & Education)",剑桥大学教育哲学硕士(艺术、创新&教育),/majr_62013,QS排名：2,社科 教育,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"社会艺术, 艺术、创造力与教育, 艺术、艺术家及合作伙伴关系, 教与学的艺术",教育,3,10月,1年,32859英镑/年,Britain
MPhil in Education (Critical Approaches to Children's Literature),剑桥大学教育哲学硕士(儿童文学的批判方法),/majr_62014,QS排名：2,社科 教育,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"文本、环境与童年, 儿童文学视角, 视觉文本, 文本与读者",教育,3,10月,1年,32859英镑/年,Britain
MPhil in Education (Educational Leadership and Improvement),剑桥大学教育哲学硕士(教育领导力与改进),/majr_62015,QS排名：2,社科 教育,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"学习领导, 政策、结构与变革, 学校效能与革新, 问题与困境, 领导观, 学习观, 学校、文化与社区, 教学评估",教育,3,10月,1年,32859英镑/年,Britain
"MPhil in Education (Education, Globalisation and International Development)",剑桥大学教育哲学硕士(教育、全球化与国际发展),/majr_62017,QS排名：2,社科 教育,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"全球化与教育国际化发展展望, 教育中的平等、多样性与包容, 教育、冲突与和平, 全球化背景下的教育与转型",教育,3,10月,1年,32859英镑/年,Britain
MPhil in Education (Psychology and Education),剑桥大学教育哲学硕士(心理学与教育),/majr_62018,QS排名：2,社科 教育,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"发展心理学, 认知心理学, 生物心理学, 社会心理学, 个体差异",教育,3,10月,1年,32859英镑/年,Britain
MPhil in Education (Research in Second Language Education),剑桥大学教育哲学硕士(第二语言教育研究),/majr_62019,QS排名：2,社科 教育,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"学习情境：跨学科的第二语言学习理论, 教学情境：跨文化的第二语言课堂教学, 政策情境：语言教育政策和多语言学的国际视角, 研究情境：语言、学习与教育研究的多种方法",教育,3,10月,1年,32859英镑/年,Britain
"MPhil in Education (Knowledge, Power and Politics)",剑桥大学教育学（知识、权力和政治）哲学硕士,/majr_66851,QS排名：2,社科 教育,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"官方知识、治理与教育, 知识、场所和社区, 知识、运动和边界, 知识、和平与正义",教育,3,10月,1年,32859英镑/年,Britain
"MPhil in Planning, Growth and Regeneration",剑桥大学规划、发展与再造哲学硕士,/majr_50003,QS排名：2,社科 建筑,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"城市与环境规划, 学位论文、研究设计与结构, 空间经济学, 制度与发展I, 制度与发展II, 房地产开发, 研究方法, 住房与新生",建筑,2,10月,1年,30339英镑/年,Britain
MPhil in Micro and Nanotechnology Enterprise,剑桥大学微型与纳米技术企业哲学硕士,/majr_50015,QS排名：2,工科 材料,107,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"特性化技术, 纳米制造技术, 纳米材料, 纳米化学, 物理学（纳米尺度）, 生物纳米技术, 纳米电化学, 能量收集, 纳米自组装, 媒体、商业和研究领域科学传播, 微技术和纳米技术的社会和伦理维度解读, 技术和创新管理",材料,1,10月,1年,33831英镑/年,Britain
MPhil in History of Art and Architecture,剑桥大学艺术与建筑史哲学硕士,/majr_66858,QS排名：2,社科 建筑,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"专题研究科目, 毕业生研讨会, 技能培训, 职业发展, 书面作业",建筑,2,10月,1年,30339英镑/年,Britain
"MPhil in Strategy, Marketing and Operations",剑桥大学战略、营销与运营哲学硕士,/majr_66875,QS排名：2,商科 市场营销,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"组织与战略创新, 组织理论, 营销策略, 组织行为学, 战略内容研讨会, 计量经济学I, 计量经济学II, 组织研究方法I和II, 竞争市场基础, 定量营销模式, 消费者行为, 博弈论与信息经济学, 运营与技术管理研究导论, 运营与技术管理研究经典, 进一步的计量经济学：时间序列",市场营销,2,10月,1年,34989英镑/年,Britain
MPhil in Architecture and Urban Studies,剑桥大学建筑学和城市研究哲学硕士,/majr_66879,QS排名：2,社科 建筑,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,,建筑,2,10月,1年,37164英镑/年,Britain
Master of Corporate Law (MCL),剑桥大学公司法硕士,/majr_50018,QS排名：2,社科 法律,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"比较公司治理, 企业所得税, 国际并购控制, 律师事务所, 股东诉讼, 法律与数字经济：企业层面, 公司财务, 公司治理, 竞争法, 国际金融法",法律,1,10月,1年,40000英镑/年,Britain
Master of Law (LLM),剑桥大学法学硕士,/majr_50019,QS排名：2,社科 法律,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"高级劳动法, 高级私法, 比较家庭法律与政策, 竞争法, 公司金融法, 公司治理, 公司破产实务, 法律与法规经济学, 欧盟对外关系法, 英国民法与刑法史, 知识产权法, 国际商事诉讼, 国际商税, 国际刑法, 国际环境法",法律,1,10月,1年,37500英镑/年,Britain
Mphil Advanced Chemical Engineering,剑桥大学高级化学工程哲学硕士,/majr_61317,QS排名：2,工科 化工,100,7,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:6.5 | W:7 | S:7 ,,,"流体力学与环境, 介面工程, 高级运输过程, 最优法, 保健生物技术, 生物物理学, 流变与加工, 生物纳米技术, 制药工程, 光学显微术, 技术管理, 国际商务, 数字时代的企业创新, 战略管理, 生物传感器",化工,1,10月,1年,39708英镑/年,Britain
MPhil in Criminological Research,剑桥大学犯罪学研究哲学硕士,/majr_66848,QS排名：2,社科 法律,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"犯罪学理论, 犯罪学研究方法, 人物、犯罪情节、犯罪与犯罪生涯, 刑事司法：参与者与过程, 全球暴力观, 有组织犯罪, 治安, 方案评价和预防犯罪, 刑事司法的社会批判观点：少数群体问题, 监狱生活社会学, 受害者和不公正",法律,1,10月,1年,30339英镑/年,Britain
MPhil in Criminology,剑桥大学犯罪学哲学硕士,/majr_66849,QS排名：2,社科 法律,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"犯罪学理论, 犯罪学研究方法, 人物、犯罪情节、犯罪与犯罪生涯, 刑事司法：参与者与过程, 全球暴力观, 有组织犯罪, 治安, 方案评价和预防犯罪, 刑事司法的社会批判观点：少数群体问题, 监狱生活社会学, 受害者和不公正",法律,1,10月,1年,30339英镑/年,Britain
MPhil in Sociology (Political and Economic Sociology),剑桥大学社会学（政治与经济社会学）哲学硕士,/majr_66871,QS排名：2,社科 社会学与社工,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,,社会学与社工,3,10月,1年,32859英镑/年,Britain
MPhil in Sociology (The Sociology of Marginality and Exclusion),剑桥大学社会学（边缘化与排斥社会学）哲学硕士,/majr_66872,QS排名：2,社科 社会学与社工,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,,社会学与社工,3,10月,1年,32859英镑/年,Britain
MPhil in Sociology (The Sociology of Media and Culture),剑桥大学社会学（媒体与文化社会学）哲学硕士,/majr_66873,QS排名：2,社科 社会学与社工,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,,社会学与社工,3,10月,1年,32859英镑/年,Britain
MPhil in Development Studies,剑桥大学发展研究哲学硕士,/majr_61320,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"发展经济学, 制度与发展, 发展社会学与政治学, 全球化与发展",国际关系,3,10月,1年,35517英镑/年,Britain
MPhil in Politics and International Studies,剑桥大学政治与国际研究哲学硕士,/majr_61321,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"资本主义与气候变化, 宗教和政治, 国际关系与国际法：理论与历史, 非洲政治：过去、现在、未来, 中国与国际安全, 全球政治下的中东, 全球治理中的非国家行为体, 建筑与政治理论, 战争文化（或恐怖行动与恐怖主义）, 欧洲外交政策, 通讯科技与政治, 米歇尔·福柯的政治思想, 非洲的和平政治, 宗教和政治：伊斯兰教，世俗主义，全球运动, 人类世与政治/政治理论的历史",国际关系,3,10月,1年,35517英镑/年,Britain
MPhil in African Studies,剑桥大学非洲研究哲学硕士,/majr_66833,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,,国际关系,3,10月,1年,30339英镑/年,Britain
MPhil in Asian and Middle Eastern Studies (Chinese Studies),剑桥大学亚洲和中东研究（中国研究）哲学硕士,/majr_66838,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"中国文言文（接收和挖掘的文本、手稿）, 早期中国, 中世纪的中国, 汉学家日语, 仪式与宗教, 敦煌与丝绸之路研究, 中国与全球化, 发展语言学, 理论上的亚洲, 相关科目中文高级读物, 战争与近代中国, 中国现当代文学, 中国人类学, 国际秩序中的中国, 汉语语言学",国际关系,3,10月,1年,30339英镑/年,Britain
MPhil in Asian and Middle Eastern Studies (Japanese Studies),剑桥大学亚洲和中东研究（日本研究）哲学硕士,/majr_66842,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"日本古代和中世纪的历史叙事, 日本近代早期文学的新途径, 理论上的亚洲, 日本古典文本, 近代日本文化史, 日本前现代史上的主题, 日本近代史上的主题, 当代日本社会, 日本前现代文学文化, 东亚地区, 现代日语文本, 文坛日语, 文言文, 韩国近代史",国际关系,3,10月,1年,30339英镑/年,Britain
MPhil in Asian and Middle Eastern Studies (Korean Studies),剑桥大学亚洲和中东研究（韩国研究）哲学硕士,/majr_66843,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"论文, 理论与方法, 理论上的亚洲, 韩国近代史, 东亚地区, 日本古代和中世纪的历史叙事, 日本古典文本, 日本近代文化史, 日本近代史专题, 当代日本社会, 前现代日本文学与文化, 中国现代文学, 中文文本, 战争与近代中国, 中国帝国晚期文化史",国际关系,3,10月,1年,30339英镑/年,Britain
MPhil in Asian and Middle Eastern Studies (Modern Middle Eastern Studies),剑桥大学亚洲和中东研究（现代中东研究）哲学硕士,/majr_66844,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"中东研究广泛领域概述, 中东研究理论与方法, 高级文学阿拉伯语, 高级文学波斯语, 高级文学希伯来语, 前现代中东历史:后帖木儿时代:从帖木儿到卡贾尔的波斯世界, 现代中东历史:当代中东的政治和文化, 前现代中东专题:伊斯兰艺术与建筑:路线、根源与新边疆 , 当代中东专题:以色列:一种文化的发明, 比较闪米特语语言学, 中东及其他地区的经济/文化, 开罗藏经库:古文献学和书法学, 穆斯林与犹太人关系:基础, 穆斯林与犹太人关系:专题, 论文",国际关系,3,10月,1年,30339英镑/年,Britain
MPhil in Latin American Studies,剑桥大学拉丁美洲研究哲学硕士,/majr_66863,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"现代拉丁美洲政治, 拉丁美洲政治经济学概论, 突变体：拉丁美洲科学想象中的种族与生物政治, （后）殖民主义与非殖民化转向, （新的）拉丁美洲的暴力和安全形式, 拉丁美洲土著人民, 拉美政治生态与环境思想, 世界历史上的加勒比, 世界上的拉丁美洲, 拉丁美洲的不平等, 外围设备, 早期电影与拉丁美洲的现代性, 全球想象, 失踪的政治，过去和现在",国际关系,3,10月,1年,30339英镑/年,Britain
MPhil in Modern South Asian Studies,剑桥大学现代南亚研究哲学硕士,/majr_66865,QS排名：2,社科 国际关系,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"现代南亚导论：主要主题、概念和辩论, 殖民主义及其遗产, 民族主义与国家建设史, 性别、家庭和家庭, 种姓与文化：人类学的主要争论, 南亚阶级分析的经验与问题, 南亚现代政治思想, 移民和散居, 南亚非殖民化与国家建设, 南亚公众塑造中的声音、图像和神, 南亚历史上的劳工与资本, 自然保护地理：印度的自然、社会和政治, 经济增长与发展, Jugaad创新；对南亚的影响, 斯里兰卡",国际关系,3,10月,1年,30339英镑/年,Britain
MPhil in Management,剑桥大学管理哲学硕士,/majr_50006,QS排名：2,商科 管理,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"会计, 商业经济学, 金融, 市场营销, 运营管理, 组织分析, 管理学定量技术, 战略研究, 管理咨询项目, 数字化时代下的商业创新, 伦理, 人力资源管理, 国际商业经济学, 策略价值评估：系统设计中的不确定性和实物期权, 供应链管理",管理,3,10月,1年,34989英镑/年,Britain
MPhil in Philosophy,剑桥大学哲学硕士,/majr_66869,QS排名：2,社科 哲学,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,,哲学,5,10月,1年,30339英镑/年,Britain
MPhil in Engineering for Sustainable Development,剑桥大学可持续发展工程哲学硕士,/majr_50013,QS排名：2,工科 环境工程,100,7,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"组织变革、价值和谈判, 可持续发展方法和指标, 技术和创新管理, 大型基础设施项目可持续发展评估, 政策、立法和政府, 可持续发展设计与实现, 开发工程, 论文, 太阳能—电子电力：发电和配电, 可再生电力, 建筑工程, 土地污染和废弃物围堵, 技术管理, 会计与金融, 目前和未来的能源系统",环境工程,2,10月,1年,34989英镑/年,Britain
MPhil in Archaeology,剑桥大学考古学哲学硕士,/majr_62011,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"考古科学, 美洲考古学, 埃及考古学, 欧洲史前史, 中世纪考古学, 美索不达米亚考古学, 旧石器时代和中石器时代考古学, 南亚考古学, 考古学硕士课程（课程未明确指定）",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Archaeological Science,剑桥大学考古科学哲学硕士,/majr_66837,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"考古科学原理, 考古科学的应用, 生物分子考古学, 考古材料与技术, 环境考古学, 地质考古学, 计算考古学, 人体骨学",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Egyptology,剑桥大学埃及学哲学硕士,/majr_66852,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"埃及语导论, 中古埃及语文本, 古埃及语文本, 科普特人, 通俗文字, 古埃及的景观、建筑环境与物质文化, 古埃及历史考古I, 古埃及历史考古II, 埃及学的主题",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Heritage Studies,剑桥大学遗产研究哲学硕士,/majr_66856,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"过去的社会政治, 遗产管理, 遗产与身份, “政治”在遗产中的作用, “价值”在遗产研究中的作用, 文化遗产与冲突, 自然与文化遗产的关系, 遗产管理的当代挑战, 国际机构在遗产管理中的作用, 遗产和公众参与, 文化遗产与法律, 文化传承与发展伦理",历史,2,10月,1年,30339英镑/年,Britain
MPhil in History and Philosophy of Science and Medicine,剑桥大学科学与医学史与哲学硕士,/majr_66857,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"科学事实的产生与发展, 灭绝史, 科学是否、能否或应该是“无价值的”, 知识的象征, 工具与帝国, 循证政策及其不满, Covid-19与医学史, 现实主义、相对主义和多元主义, 作为全球科学的自然史, 科学事实与虚构：社会技术未来史, 性欲科学, 非殖民化与科学史, 时间的方向, 病案与数字人文",历史,2,10月,1年,32859英镑/年,Britain
MPhil in Holocene Climates,剑桥大学全新世气候哲学硕士,/majr_66859,QS排名：2,工科 环境工程,100,7,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"树木气候学, 火山学, 海洋学, 冰芯记录, 代理重建, 模型模拟, 海平面变化, 全新世气候变率, 共同时代的气候, 地质年代学与14C测年, 快速气候变化, 内部气候变化, 全球碳循环, 人为气候变化, 检测与归因",环境工程,2,10月,1年,33831英镑/年,Britain
MPhil in American History,剑桥大学美国历史哲学硕士,/majr_66877,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"美国历史与史学的争论, 美国文化史上的方法与途径, 美国历史上的边疆, 美国早期的种族、公民身份和归属, 性别与性",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Archaeological Research,剑桥大学考古研究哲学硕士,/majr_66878,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"研究论文, 研究技能模块, 论文",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Early Modern History,剑桥大学早期现代史哲学硕士,/majr_66886,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"来源和方法, 图书, 全球早期现代性, 18世纪的走向, 贫穷、疾病和疾病, 现代早期英国和世界的语言和权力，约1500-1800年, 物质文化与视觉文化",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Medieval History,剑桥大学中世纪历史哲学硕士,/majr_66891,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"中世纪史：概念与方法, 古地理学, 拉丁语, 中世纪手稿研究, 拜占庭帝国：从查士丁尼一世到巴兹尔二世的延续与危机, 宗教与权力, 法律与社会",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Modern British History,剑桥大学英国现代史哲学硕士,/majr_66892,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"英国近代史上的争论, 英国近代史研究的挑战, 解读现代爱尔兰, 新时代1970年代以来的英国, 英国近代史上的种族与帝国, 维多利亚时代：19世纪英国向“现代性”的过渡",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Modern European History,剑桥大学欧洲现代史哲学硕士,/majr_66893,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"欧洲近代史上的争论, 起义年：1968年欧洲, 流动中的欧洲：中欧的移民和流离失所, 现代地中海, 历史中的时间与时间",历史,2,10月,1年,30339英镑/年,Britain
MPhil in Political Thought and Intellectual History,剑桥大学政治思想与思想史哲学硕士,/majr_66895,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,,历史,2,10月,1年,30339英镑/年,Britain
MPhil in World History,剑桥大学世界历史哲学硕士,/majr_66896,QS排名：2,社科 历史,110,7.5,,,L:25 | R:25 | W:25 | S:25 ,L:7 | R:7 | W:7 | S:7 ,,,"世界历史上的争论, 世界历史上的印刷文化, 劳动生活在全球南部, 冷战及其在东亚的后果, 现代非洲的基督教、身份与政治, 比较视角下的帝国, 世界历史上的加勒比, 现代南亚历史、政治和文化中的宗教, 南亚/地区的翻译",历史,2,10月,1年,30339英镑/年,Britain
