school,applicant
约翰霍普金斯大学金融经济学硕士,"西南财经大学, 金融, 大四，GPA90.1，托福115，GRE327"
乔治城大学应用经济学硕士,"香港科技大学, 经济、会计, 大四，GPA3.27，雅思7.5，GRE322"
加州大学圣地亚哥分校专业会计硕士,"北京第二外国语学院, 国内财务管理，美国国际会计, 大四，GPA3.85，无"
约翰霍普金斯大学市场营销硕士,"纽约大学, communication double psychology, 已毕业，GPA3.7，无，GRE336"
约翰霍普金斯大学金融硕士,"对外经济贸易大学, 金融, 大四，GPA84.17，雅思7.5，GRE328"
约翰霍普金斯大学应用经济硕士,"中央财经大学, 国际经济与贸易（国际贸易/金融风险管理方向）, 大四，GPA91.72，雅思:8(L:9/R:9/W:7/S:6.5)，GRE:335"
波士顿大学商业分析硕士,"贝勒大学, 信息系统管理, 大四，GPA86，GRE:332"
约翰霍普金斯大学应用经济硕士,"西南财经大学, 金融, 大四，GPA82，托福103，GRE321"
纽约大学管理与系统理学硕士,"贝勒大学, 信息系统, 大四，GPA3.6"
佩珀代因大学两年制工商管理硕士,"上海对外经贸大学, 商法, 三年以上工作经验，GPA2.98，托福111，GRE332"
加州大学戴维斯分校工商管理硕士,"上海对外经贸大学, 商法, 三年以上工作经验，GPA2.98，托福111，GRE332"
布兰迪斯大学金融硕士,"美利坚大学, 金融, 大四，GPA3.33，无，GRE325"
布兰迪斯大学商业分析硕士,"悉尼大学, 机械工程, 大四，GPA3.0，海本免，无"
威斯康星大学麦迪逊分校经济学硕士,"对外经济贸易大学, 金融, 大四，GPA84.17，雅思7.5，GRE328"
威斯康星大学麦迪逊分校经济学硕士,"中国人民大学, 会计, 已毕业，GPA3.08，雅思7，GRE319"
罗切斯特大学商业分析硕士,"美国贝勒大学, 信息系统, 大四，GPA3.6，/，GRE332"
罗切斯特大学金融硕士,"北京工业大学, 金融学（中外合作办学）, 大四，GPA3.87，雅思7，GRE326"
约翰霍普金斯大学应用经济硕士,"中国人民大学, 会计, 已毕业，GPA3.08，雅思7，GRE319"
罗切斯特大学金融硕士,"里士满大学, 市场营销, 大四，GPA3.67，无，GRE322"
罗切斯特大学金融硕士,"中央财经大学, 金融学, 大四，GPA85.71，雅思7.5，GRE337"
罗切斯特大学会计硕士,"北京第二外国语学院, 国内财务管理，美国国际会计, 大四，GPA3.85，无"
加州大学欧文分校专业会计硕士,"北京第二外国语学院, 国内财务管理，美国国际会计, 大四，GPA3.85"
约翰霍普金斯大学应用经济硕士,"华东政法大学, 经济, 大四，GPA90.43，雅思7，GRE322"
约翰霍普金斯大学应用经济硕士,"格拉斯哥大学, 经济学, 大四，GPA3.81"
约翰霍普金斯大学应用经济硕士,"北京工业大学, 金融学（中外合作办学）, 大四，GPA3.87，雅思7，GRE326"
约翰霍普金斯大学应用经济硕士,"香港中文大学（深圳）, 金融, 大四，GPA3.52，雅思7.5，GRE325"
约翰霍普金斯大学应用经济硕士,"澳门大学, 经济, 大四，GPA3.57，雅思7.5，N/A"
波士顿大学全球市场营销管理硕士,"北京语言大学, 日语, 已毕业，GPA75，托福:95(L:22/R:24/W:24/S:25)"
圣路易斯华盛顿大学金融硕士,"中国人民大学, 会计, 已毕业，GPA3.08，雅思7，GRE319"
圣路易斯华盛顿大学金融硕士,"西南财经大学, 金融, 大四，GPA82，托福103，GRE321"
圣路易斯华盛顿大学金融硕士,"中央财经大学, 金融学, 大四，GPA85.71，雅思7.5，GRE337"
约翰霍普金斯大学应用经济硕士,"北京林业大学, 国际经济与贸易, 大四，GPA90.89，雅思7.5，GRE318"
东北大学信息系统硕士,"郑州大学, 国贸, 三年以上工作经验，GPA88，雅思6.5"
纽约大学投资规划理学硕士,"加州大学欧文分校, 商务经济, 已毕业，GPA3.76，免，GRE336"
南加州大学应用经济学和计量经济学硕士,"加州大学戴维斯分校, applied statistics, 大四，GPA3.54，GRE334"
圣路易斯华盛顿大学金融硕士,"不列颠哥伦比亚大学, 金融, 大四，GPA78"
南加州大学应用经济学和计量经济学硕士,"澳门大学, 经济学, 大四，GPA3.89，托福104，GRE330"
约翰霍普金斯大学信息系统硕士,"东北财经大学, 信息管理与信息系统, 大四，GPA86.2，雅思:7.0，GRE333"
康奈尔大学管理学硕士,"香港大学, marketing&global creative industries, 大四，GPA3.83，雅思8，GRE336"
东北大学信息系统硕士offer一枚,"东北财经大学, 信息管理与信息系统, 大四，GPA86.2，雅思:7.0"
雪城大学信息管理理学硕士,"郑州大学, 国贸, 三年以上工作经验，GPA88，雅思6.5"
纽约大学整合营销硕士,"加本Top3, 林学, 大四，GPA3.32"
约翰霍普金斯大学应用经济硕士,"加州大学欧文分校, 商务经济, 已毕业，GPA3.76，GRE336"
波士顿大学数学金融与金融科技硕士,"瓦萨学院, 数学, 大四，GPA3.76，GRE326"
哥伦比亚大学应用分析硕士,"暨南大学, 经济学, 大四，GPA88，托福105，GRE320"
耶鲁大学资产管理硕士,"卡内基梅隆大学, computational finance, 大四，GPA4，GRE331"
哥伦比亚大学经济学硕士,"澳门大学, 经济学, 大四，GPA3.89，托福104，GRE330"
波士顿大学经济学硕士,"北京师范大学, 经济学, 大四，GPA3.4，托福94"
凯斯西储大学金融硕士,"北京师范大学, 经济学, 大四，GPA3.4，托福94"
波士顿大学管理研究硕士,"加本Top3, 林学, 大四，GPA3.32"
东北大学信息系统硕士,"中山大学, 行政管理, 大四，GPA3.9，雅思8，GRE326"
哥伦比亚大学经济学硕士,"福特汉姆大学, 经济, 已毕业，GPA3.97，GRE324"
哥伦比亚大学商业分析硕士offer一枚,"里士满大学, 金融经济数学, 大四，GPA3.89，GRE328"
南加州大学金融工程硕士,"暨南大学, 经济学, 大四，GPA87.7，托福105，GRE320"
加州大学伯克利分校分析学硕士,"中国农业大学+科罗拉多大学丹佛分校, 经济数学，辅修数据科学, 已毕业，GPA3.98，GRE330"
罗切斯特大学市场营销分析硕士offer一枚,"香港中文大学（深圳）, 国际商务管理, 大四，GPA3.3，雅思7"
佛罗里达大学信息系统与运营管理理学硕士offer一枚,"特拉华大学, 管理信息系统和金融, 大四，GPA3.62"
东北大学金融硕士,"南京工业大学, 会计, 大四，GPA3.6，雅思7.5，GRE326"
东北大学国际管理理学硕士offer一枚,"西交利物浦大学, 国际商务, 大四，GPA3.3，雅思7"
密歇根大学安娜堡分校信息学硕士,"特拉华大学, 管理信息系统和金融, 大四，GPA3.62"
哥伦比亚大学金融工程硕士,"卡内基梅隆大学, computational finance, 大四，GPA4，GRE331"
密歇根大学安娜堡分校定量金融与风险管理硕士,"加州大学圣地亚哥分校, 应用数学, 已毕业，GPA3.56，GRE328"
芝加哥大学金融数学硕士,"美本TOP40文理学院, 数学和经济学, 已毕业，GPA3.96，GRE325+"
杜克大学量化管理硕士,"昆山杜克大学, 经济, 大四，GPA3.71，雅思7，GRE322"
芝加哥大学金融数学硕士,"卡内基梅隆大学, computational finance, 大四，GPA4，GRE331"
威斯康星大学麦迪逊分校经济学硕士,"北京师范大学-香港浸会大学联合国际学院, 应用经济学, 大四，GPA3.59，雅思7"
麻省理工学院金融硕士,"卡内基梅隆大学, computational finance, 大四，GPA4，GRE331"
布兰迪斯大学国际经济与金融硕士,"南京工业大学, 会计, 大四，GPA3.6，雅思7.5，GRE326"
布兰迪斯大学商业分析硕士,"特拉华大学, 管理信息系统和金融, 大四，GPA3.62"
纽约大学经济学硕士offer一枚,"加州大学戴维斯分校, applied statistics, 大四，GPA3.54，GRE334"
纽约大学经济学硕士,"福特汉姆大学, 经济, 已毕业，GPA3.97，GRE324"
约翰霍普金斯大学金融数学硕士,"瓦萨学院, 数学, 大四，GPA3.76，GRE326"
约翰霍普金斯大学金融数学硕士,"卡内基梅隆大学, computational finance, 大四，GPA4，GRE331"
罗切斯特大学市场营销分析硕士offer一枚,"上海财经大学, 市场营销, 大四，GPA3.48，雅思7.5，GMAT710"
卡内基梅隆大学计算金融硕士,"卡内基梅隆大学, computational finance, 大四，GPA4，GRE331"
约翰霍普金斯大学商业分析与风险管理硕士,"加州大学欧文分校, 计算机, 大四，GPA3.93，GRE321"
约翰霍普金斯大学金融硕士,"不列颠哥伦比亚大学, 数学经济, 大四，GPA3.42，GRE333"
约翰霍普金斯大学金融硕士,"南京工业大学, 会计, 大四，GPA3.6，雅思7.5，GRE326"
约翰霍普金斯大学金融硕士,"香港中文大学（深圳）, 应用经济学，辅修金融, 大四，GPA3.8，雅思7.5，GRE333"
波士顿大学经济学硕士,"不列颠哥伦比亚大学, 数学经济, 大四，GPA3.42，GRE333"
波士顿大学经济学硕士,"加州大学欧文分校, 商务经济, 已毕业，GPA3.76，GRE336"
波士顿大学经济学硕士,"纽约州立大学石溪分校, 数学经济, 已毕业，GPA3.12，GRE320"
哥伦比亚大学应用分析硕士,"加州大学戴维斯分校, applied statistics, 大四，GPA3.54，GRE334"
罗切斯特大学商业分析硕士,"特拉华大学, 管理信息系统和金融, 大四，GPA3.62"
罗切斯特大学会计硕士,"南京工业大学, 会计, 大四，GPA3.6，雅思7.5，GRE326"
南加州大学应用经济学和计量经济学硕士,"不列颠哥伦比亚大学, 数学经济, 大四，GPA3.42，GRE333"
圣路易斯华盛顿大学信息系统管理硕士,"特拉华大学, 管理信息系统和金融, 大四，GPA3.62"
伊利诺伊大学香槟分校金融工程硕士,"四川大学, 计算金融, 大四，GPA3.41，托福108，GMAT740/327"
纽约大学整合营销硕士,"西交利物浦大学, 国际商务, 大四，GPA3.3，雅思7"
伊利诺伊大学香槟分校金融硕士,"南京工业大学, 会计, 大四，GPA3.6，雅思7.5，GRE326"
约翰霍普金斯大学应用经济硕士offer一枚,"不列颠哥伦比亚大学, 经济统计, 大四，GPA3.5"
康奈尔大学应用经济与管理硕士,"福特汉姆大学, 经济, 已毕业，GPA3.97，GRE324"
康奈尔大学工程硕士金工方向,"卡内基梅隆大学, computational finance, 大四，GPA4，GRE331"
约翰霍普金斯大学应用经济硕士,"不列颠哥伦比亚大学, 数学经济, 大四，GPA3.42，GRE333"
伊利诺伊大学香槟分校会计硕士,"南京工业大学, 会计, 大四，GPA3.6，雅思7.5，GRE326"
约翰霍普金斯大学应用经济硕士,"北京化工大学, 国际经济与贸易, 大四，GPA88.18，托福108，GRE337"
纽约大学金融工程硕士,"南京信息工程大学, 金融工程, 大四，GPA92，托福103"
波士顿大学数学金融与金融科技硕士,"四川大学, 计算金融, 大四，GPA3.41，托福108"
纽约大学定量金融硕士,"里士满大学, 金融经济数学, 大四，GPA3.89"
约翰霍普金斯大学金融硕士offer一枚,"不列颠哥伦比亚大学, 经济 数学, 大四，GPA3.77/4.3"
罗切斯特大学市场营销分析硕士,"宁波诺丁汉大学, 国际商务管理, 已毕业，GPA65"
约翰霍普金斯大学金融硕士,"南京大学, 英语, 已毕业，GPA4.45，雅思8"
约翰霍普金斯大学商业分析与风险管理硕士,"福特汉姆大学, 经济, 已毕业，GPA3.97"
波士顿大学经济学硕士offer一枚,"中国农业大学, 农林经济管理, 大四，GPA3.27"
伊利诺伊大学香槟分校政策经济学硕士offer一枚,"中国农业大学, 农林经济管理, 大四，GPA3.27"
圣路易斯华盛顿大学商业分析硕士offer一枚,"华中科技大学, 国贸, 大四，GPA85.5，托福99，GRE322"
圣路易斯华盛顿大学金融硕士offer一枚,"上海对外经贸大学, 金融学(全英语实验班), 大四，GPA3.53，雅思7，GMAT700"
凯斯西储大学商业分析硕士offer一枚,"印第安纳大学伯明顿分校, 信息学, 0.5年工作经验，GPA3.5，GRE336"
圣路易斯华盛顿大学金融硕士offer一枚,"武汉理工大学, 金融, 大四，GPA3.62，托福100，GRE323"
东北大学金融硕士,"武汉理工大学, 金融, 20年毕业，GPA3.62，托福100，GRE323"
布兰迪斯大学商业分析硕士offer一枚,"北京师范大学-香港浸会大学联合国际学院, 金融数学, 大四，GPA3.04，雅思7"
约翰霍普金斯大学金融硕士offer一枚,"武汉理工大学, 金融, 20年毕业，GPA3.62，托福100，GRE323"
伊利诺伊大学香槟分校金融硕士offer一枚,"武汉理工大学, 金融, 20年毕业，GPA3.62，托福100，GRE323"
波士顿大学数学金融与金融科技硕士offer一枚,"广东外语外贸大学, 金融工程, 大四，GPA3.84，托福109，GRE330"
波士顿学院金融硕士offer一枚,"武汉理工大学, 金融, 20年毕业，GPA3.62，托福100，GRE323"
罗切斯特大学金融硕士offer一枚,"武汉理工大学, 金融, 2020年毕业，GPA3.62，托福100，GRE323"
罗切斯特大学金融硕士offer一枚,"香港中文大学（深圳）, 金融, 大四，GPA3.29，托福100，GMAT710"
波士顿大学数学金融与金融科技硕士offer一枚,"上海对外经贸大学, 金融学（全英语实验班）, 大四，GPA3.64，托福103，GRE323"
波士顿大学数学金融与金融科技硕士offer一枚,"同济大学, 土木工程, 大四，GPA83.74，托福104"
俄亥俄州立大学金融硕士offer一枚,"辅仁大学, 金融与国际企业学系, 应届毕业生，GPA90.87，雅思7，GMAT630"
布兰迪斯大学金融硕士offer一枚,"辅仁大学, 金融与国际企业学系, 应届毕业生，GPA90.87，雅思7，GMAT630"
东北大学金融硕士offer一枚,"辅仁大学, 金融与国际企业学系, 应届毕业生，GPA90.87，雅思7，GMAT630"
杜兰大学金融硕士offer一枚,"辅仁大学, 金融与国际企业学系, 应届毕业生，GPA90.87，雅思7，GMAT630"
波士顿大学经济学硕士offer一枚,"上海理工大学, 管理科学, 大四，GPA3.59"
里海大学会计与信息分析理学硕士offer一枚,"长春工业大学, 会计学, 大四，GPA3.26，雅思7，GMAT600"
福特汉姆大学全球金融硕士offer一枚,"香港中文大学（深圳）, 金融, 大四，GPA2.7，雅思7.5，GMAT630"
圣路易斯华盛顿大学金融硕士offer一枚,"中国人民大学（苏州）, 金融学, 大四，GPA2.87，托福99，GRE315"
德克萨斯大学奥斯汀分校经济学文学硕士offer一枚,"南京审计大学, 会计学, 大四，GPA84，雅思7，GRE308"
纽约大学金融数学硕士offer一枚,"武汉大学, 数理金融, 大四，GPA3.86，托福103，GRE323"
约翰霍普金斯大学金融硕士offer一枚,"香港中文大学（深圳）, 金融, 大四，GPA2.7，雅思7.5，GMAT630"
纽约大学信息系统硕士offer一枚,"卡拉马祖学院, 计算机科学与数学与经济学, 毕业2年，GPA3.76，托福106，GRE319"
纽约大学整合营销硕士offer一枚,"惠顿学院, 商业管理, 大四，GPA89，GRE302"
南加州大学金融硕士offer一枚,"北京师范大学珠海分校+墨尔本大学, 国际金融, 大四，GPA89，雅思8，GMAT750"
南卫理公会大学会计硕士offer一枚,"长春工业大学, 会计学, 大四，GPA3.26，雅思7，GMAT600"
圣路易斯华盛顿大学金融硕士offer一枚,"苏州大学, 金融, 大四，GPA3.9，雅思7.5，GMAT700"
圣路易斯华盛顿大学金融硕士offer一枚,"北京师范大学珠海分校+墨尔本大学, 国际金融, 大四，GPA89，雅思8，GMAT750"
伊利诺伊大学香槟分校信息管理硕士offer一枚,"卡拉马祖学院, 计算机科学与数学与经济学, 毕业2年，GPA3.76，托福106，GRE319"
波士顿学院金融硕士offer一枚,"北京师范大学珠海分校+墨尔本大学, 国际金融, 大四，GPA89，雅思8，GMAT750"
明尼苏达大学双城分校会计硕士offer一枚,"长春工业大学, 会计学, 大四，GPA3.26，雅思7，GMAT600"
密歇根大学安娜堡分校定量金融与风险管理硕士offer一枚,"武汉大学, 数理经济, 大四，GPA3.6，托福97，GRE321"
约翰霍普金斯大学金融硕士offer一枚,"北京交通大学, 会计学, 大四，GPA3.52，托福104，GRE323"
密歇根大学安娜堡分校定量金融与风险管理硕士offer一枚,"北京航空航天大学, 数学与应用数学, 大四，GPA88.2，雅思7.5，GRE326"
圣路易斯华盛顿大学金融硕士offer一枚,"北京交通大学, 会计学, 大四，GPA3.52，托福104，GRE323"
福特汉姆大学定量金融理学硕士offer一枚,"上海对外经贸大学, 金融学（全英语实验班）, 大四，GPA3.64，托福103，GRE323"
东北大学金融硕士offer一枚,"北京师范大学-香港浸会大学联合国际学院, 应用经济学, 大四，GPA3.76，雅思7.5，GMAT660"
罗切斯特大学金融硕士offer一枚,"北京师范大学珠海分校, 国际金融, 大四，GPA89，雅思8，GMAT750"
纽约州立大学石溪分校金融理学硕士offer一枚,"香港中文大学深圳, 金融, 大四，GPA2.7，雅思7.5，GMAT630"
圣路易斯华盛顿大学信息系统管理硕士offer一枚,"卡拉马祖学院, 计算机科学与数学与经济学, 毕业2年，GPA3.76，托福106，GRE319"
约翰霍普金斯大学金融硕士offer一枚,"北京师范大学珠海分校, 国际金融, 大四，GPA89，雅思8，GMAT750"
约翰霍普金斯大学信息系统硕士offer一枚,"卡拉马祖学院, 计算机科学与数学与经济学, 毕业2年，GPA3.76，托福106，GRE319"
约翰霍普金斯大学金融硕士offer一枚,"北京师范大学-香港浸会大学联合国际学院, 应用经济学, 大四，GPA3.76，雅思7.5，GMAT660"
约翰霍普金斯大学金融硕士offer一枚,"广东外语外贸, 金融学, 大四，GPA3.71，雅思7，GRE320"
约翰霍普金斯大学金融硕士offer一枚,"北京工业大学, 环境工程, 大四，GPA83.58，雅思7.5，GRE321"
康奈尔大学工程硕士金工方向offer一枚,"武汉大学, 数理金融, 大四，GPA3.86，托福103，GRE323"
匹兹堡大学信息科学硕士offer一枚,"卡拉马祖学院, 计算机科学与数学与经济学, 毕业2年，GPA3.76，托福106，GRE319"
迈阿密大学会计硕士offer一枚,"长春工业大学, 会计学, 大四，GPA3.26，雅思7"
约翰霍普金斯大学金融数学硕士offer一枚,"北京航空航天大学, 数学与应用数学, 大四，GPA88.2，雅思7.5，GRE326"
伊利诺伊大学香槟分校金融工程硕士offer一枚,"广东外语外贸, 金融学, 大四，GPA3.71，雅思7，GRE320"
罗切斯特大学商业分析硕士offer一枚,"北京师范大学-香港浸会大学联合国际学院, 应用经济学, 大四，GPA3.76，雅思7.5，GMAT660"
威斯康星大学麦迪逊分校农业应用经济学理学硕士?offer一枚,"南京审计大学, 会计学, 大四，GPA84，雅思7，GRE308"
布兰迪斯大学商业分析硕士offer一枚,"对外经济贸易大学, 国际经济与贸易, 大四，GPA85，雅思8，GRE330+4"
雪城大学信息管理理学硕士offer一枚,"南京农业大学, 信息管理与信息系统, 大四，GPA85.78，托福93，GRE317"
东北大学信息系统硕士offer一枚,"南京农业大学, 信息管理与信息系统, 大四，GPA85.78，托福93，GRE317"
美利坚大学市场营销理学硕士offer一枚,"威顿学院, 商务管理, 大四，GPA3.43，GRE303"
南加州大学金融工程硕士offer一枚,"广东外语外贸, 金融学, 大四，GPA3.71，雅思7，GRE320"
纽约大学金融工程硕士offer一枚,"中南财经政法大学, 金融工程, 大四，GPA91.57，托福106，GRE326"
杜兰大学金融硕士offer一枚,"北京师范大学-香港浸会大学联合国际学院, 应用经济学, 大四，GPA3.76，雅思7.5，GMAT660"
乔治城大学分析学理学硕士offer一枚,"对外经济贸易大学, 国际经济与贸易, 大四，GPA85，雅思8，GRE330+4"
加州大学圣地亚哥分校金融硕士offer一枚,"苏州大学, 金融, 大四，GPA3.9，雅思7.5，GMAT700"
伍斯特理工学院金融数学专业理学硕士offer一枚,"上海对外经贸大学, 金融学（全英语实验班）, 大四，GPA3.64，托福103，GRE323"
罗切斯特大学金融硕士offer一枚,"西北工业大学, 国际经济与贸易, 大四，GPA88.16，雅思7.5，GMAT690"
约翰霍普金斯大学金融硕士offer一枚,"西北工业大学, 国际经济与贸易, 大四，GPA88.16，雅思7.5，GMAT690"
波士顿学院应用经济学理学硕士offer一枚,"北京工商大学, 金融, 19年毕业，GPA89，托福90，GRE317"
圣路易斯华盛顿大学商业分析硕士offer一枚,"对外经济贸易大学, 国际经济与贸易, 大四，GPA85，雅思8，GRE330+4"
罗切斯特大学商业分析硕士offer一枚,"对外经济贸易大学, 国际经济与贸易, 大四，GPA85，雅思8，GRE330+4"
维克森林大学商业分析硕士offer一枚,"对外经济贸易大学, 国际经济与贸易, 大四，GPA85，雅思8，GRE330+4"
福特汉姆大学经济学文学硕士offer一枚,"北京工商大学, 金融, 19年毕业，GPA89，托福90，GRE317"
维克森林大学商业分析硕士offer一枚,"西北工业大学, 国际经济与贸易, 大四，GPA88.16，雅思7.5，GMAT690"
波士顿大学经济学硕士offer一枚,"北京工商大学, 金融, 19年毕业，GPA89，托福90，GRE317"
乔治华盛顿大学应用经济学文学硕士offer一枚,"北京工商大学, 金融, 19年毕业，GPA89，托福90，GRE317"
福特汉姆大学定量金融理学硕士offer一枚,"武汉大学, 金融数学, 大四，GPA3.77，托福104，GRE329"
罗切斯特大学金融硕士offer一枚,"江西财经大学, 金融, 大四，GPA87，雅思7.5，GMAT720"
纽约大学整合营销硕士offer一枚,"中国石油大学（华东）, 国际经济与贸易, 大四，GPA85，雅思7，GRE318"
波士顿学院金融硕士offer一枚,"上海交通大学, 金融学, 大四，GPA88.5，托福107，GMAT740"
哥伦比亚大学金融数学硕士offer一枚,"对外经济贸易大学, 金融工程, 大四，GPA3.59，托福108，GRE332"
匹兹堡大学信息科学硕士offer一枚,"河海大学, 信息管理与信息系统, 大四，GPA83.6，托福86，GRE317"
波士顿大学数学金融理学硕士offer一枚,"武汉大学, 金融数学, 大四，GPA3.77，托福104，GRE329"
福特汉姆大学定量金融理学硕士offer一枚,"江西财经大学, 金融, 大四，GPA87，雅思7.5，GMAT720"
哥伦比亚大学企业风险管理硕士offer一枚,"湖南大学, 建筑环境与能源应用工程专业（采暖通风）, 大四，GPA88，雅思7.0，GRE324"
约翰霍普金斯大学房地产和基础设施硕士offer一枚,"湖南大学, 建筑环境与能源应用工程专业（采暖通风）, 大四，GPA88，雅思7.0，GRE324"
杜兰大学金融硕士offer一枚,"江西财经大学, 金融, 大四，GPA87，雅思7.5，GMAT720"
布兰迪斯大学金融硕士offer一枚,"江西财经大学, 金融, 大四，GPA87，雅思7.5，GMAT720"
布兰迪斯大学金融硕士offer一枚,"上海交通大学, 金融学, 大四，GPA88.5，托福107，GMAT740"
伊利诺伊大学香槟分校政策经济学硕士offer一枚,"中国石油大学（华东）, 国际经济与贸易, 大四，GPA85，雅思7，GRE318"
亚利桑那州立大学商业分析理学硕士,"中国民航大学, 交通工程, 大四，GPA84.9，托福89，GRE321"
约翰霍普金斯大学金融硕士offer一枚,"江西财经大学, 金融, 大四，GPA87，雅思7.5，GMAT720"
纽约大学金融数学硕士offer一枚,"纽约大学, 数学与经济, 大四，GPA3.86，GRE330"
斯蒂文斯理工学院信息系统硕士offer一枚,"河海大学, 信息管理与信息系统, 大四，GPA83.6，托福86，GRE317"
波士顿大学全球发展经济学硕士offer一枚,"中国石油大学（华东）, 国际经济与贸易, 大四，GPA85，雅思7，GRE318"
乔治华盛顿大学应用经济学文学硕士offer一枚,"中国石油大学（华东）, 国际经济与贸易, 大四，GPA85，雅思7，GRE318"
德州大学达拉斯分校金融硕士offer一枚,"北京航空航天大学, 应用数学, 1年工作经验，GPA72，托福93，GRE313"
南加州大学全球供应链管理理学硕士offer一枚,"南开大学, 物流管理, 大四，GPA89，雅思7.5，GMAT740"
东北大学信息系统硕士offer一枚,"河海大学, 信息管理与信息系统, 大四，GPA83.6，托福86，GRE317"
哥伦比亚大学金融数学硕士offer一枚,"纽约大学, 数学与经济, 大四，GPA3.86，GRE330"
俄亥俄州立大学物流工程商业硕士offer一枚,"南开大学, 物流管理, 大四，GPA89，雅思7.5，GMAT740"
纽约大学金融工程硕士offer一枚,"武汉大学, 金融数学, 大四，GPA3.77，托福104，GRE329"
伦斯勒理工学院供应链管理理学硕士 offer一枚,"南开大学, 物流管理, 大四，GPA89，雅思7.5，GMAT740"
南加州大学金融工程硕士offer一枚,"纽约大学, 数学与经济, 大四，GPA3.86，GRE330"
康奈尔大学工程硕士金工方向offer一枚,"纽约大学, 数学与经济, 大四，GPA3.86，GRE330"
纽约大学金融工程硕士offer一枚,"纽约大学, 数学与经济, 大四，GPA3.86，GRE330"
纽约大学整合营销硕士offer一枚,"波士顿大学, 经济, 大四，GPA3.35，GRE318"
